34000	-65.95	0.21	8.11	0.92	0.0	0.08	0.0
35000	-11.43	0.34	9.6	0.95	0.0	0.05	0.0
36000	-1.06	0.32	9.53	0.99	0.01	0.01	0.0
37000	-45.97	0.35	9.04	0.92	0.0	0.08	0.0
38000	34.26	0.35	10.18	0.98	0.0	0.02	0.0
39000	49.85	0.49	11.21	0.95	0.0	0.05	0.0
40000	126.35	0.54	12.54	0.94	0.02	0.06	0.0
41000	19.39	0.34	9.58	0.98	0.01	0.02	0.0
42000	87.01	0.43	12.39	0.94	0.01	0.06	0.0
43000	63.74	0.47	10.78	0.94	0.0	0.06	0.0
44000	99.52	0.51	11.3	0.96	0.01	0.04	0.0
45000	167.09	0.56	13.49	0.87	0.0	0.13	0.0
46000	83.86	0.4	10.86	0.95	0.0	0.05	0.0
47000	131.51	0.55	12.58	0.91	0.0	0.09	0.0
48000	136.1	0.58	13.1	0.95	0.01	0.05	0.0
49000	200.7	0.63	13.97	0.97	0.03	0.03	0.0
50000	222.59	0.63	14.46	0.94	0.01	0.06	0.0
51000	178.73	0.8	16.35	0.91	0.01	0.09	0.0
52000	301.95	0.65	15.65	0.86	0.01	0.14	0.0
53000	383.61	0.97	18.81	0.91	0.02	0.09	0.0
54000	362.45	0.86	18.32	0.92	0.01	0.08	0.0
55000	406.26	0.97	18.79	0.93	0.01	0.07	0.0
56000	451.07	0.97	20.27	0.88	0.01	0.11	0.01
57000	347.64	0.87	17.98	0.77	0.03	0.21	0.02
58000	507.51	1.07	21.95	0.83	0.06	0.14	0.03
59000	510.85	1.09	21.4	0.88	0.08	0.1	0.02
60000	484.77	1.05	21.3	0.83	0.01	0.17	0.0
61000	359.22	0.81	17.08	0.89	0.02	0.11	0.0
62000	316.0	0.82	17.29	0.9	0.04	0.09	0.01
63000	529.13	1.16	22.9	0.85	0.02	0.09	0.06
64000	410.63	0.98	19.48	0.97	0.01	0.03	0.0
65000	496.36	1.27	21.92	0.84	0.07	0.14	0.02
66000	620.02	1.1	25.46	0.91	0.01	0.06	0.03
67000	509.62	1.12	21.03	0.89	0.02	0.08	0.03
68000	463.21	1.1	20.94	0.65	0.06	0.2	0.15
69000	607.69	1.25	23.45	0.79	0.06	0.18	0.03
70000	585.23	1.18	23.47	0.88	0.03	0.09	0.03
71000	565.93	1.13	23.17	0.85	0.06	0.1	0.05
72000	640.66	1.24	23.98	0.85	0.09	0.14	0.01
73000	583.26	1.22	24.18	0.87	0.01	0.12	0.01
74000	730.07	1.46	26.42	0.78	0.04	0.19	0.03
75000	551.91	1.24	23.0	0.77	0.04	0.16	0.07
76000	926.15	1.64	30.79	0.65	0.04	0.18	0.17
77000	712.85	1.48	27.39	0.83	0.03	0.09	0.08
78000	628.59	1.33	25.53	0.85	0.03	0.12	0.03
79000	658.23	1.41	25.47	0.57	0.05	0.26	0.17
80000	825.02	1.52	29.98	0.71	0.06	0.12	0.17
81000	697.01	1.42	26.16	0.79	0.02	0.16	0.05
82000	865.87	1.69	31.12	0.79	0.06	0.12	0.09
83000	907.86	1.83	32.12	0.65	0.08	0.14	0.21
84000	698.06	1.59	26.86	0.54	0.05	0.21	0.25
85000	852.94	1.83	29.64	0.74	0.12	0.14	0.12
86000	1007.61	1.77	32.97	0.63	0.08	0.17	0.2
87000	1016.02	1.89	33.42	0.8	0.12	0.1	0.1
88000	895.76	2.02	32.63	0.7	0.11	0.11	0.19
89000	1004.3	1.86	32.8	0.72	0.08	0.16	0.12
90000	875.84	1.77	31.02	0.77	0.08	0.15	0.08
91000	876.69	1.76	30.35	0.62	0.12	0.22	0.16
92000	952.5	1.74	32.64	0.79	0.13	0.12	0.09
93000	1180.96	1.95	37.35	0.58	0.1	0.18	0.24
94000	1120.57	1.94	35.47	0.53	0.06	0.26	0.21
95000	922.03	1.86	34.59	0.7	0.09	0.15	0.15
96000	1141.83	1.99	34.83	0.47	0.07	0.32	0.21
97000	1061.18	1.85	35.06	0.69	0.05	0.09	0.22
98000	1069.63	1.88	32.62	0.68	0.11	0.25	0.07
99000	1097.06	2.05	35.19	0.62	0.08	0.16	0.22
100000	987.07	1.86	31.51	0.84	0.08	0.06	0.1
101000	1335.62	2.31	39.69	0.54	0.14	0.11	0.35
102000	914.18	1.77	31.07	0.76	0.13	0.15	0.09
103000	1161.56	1.96	36.02	0.49	0.1	0.18	0.33
104000	1110.88	1.98	34.78	0.61	0.05	0.16	0.23
105000	1219.13	1.95	36.74	0.47	0.08	0.22	0.31
106000	879.35	1.57	30.25	0.65	0.11	0.18	0.17
107000	1090.29	1.95	33.78	0.49	0.09	0.2	0.31
108000	1224.18	1.99	36.58	0.38	0.1	0.48	0.14
109000	1314.89	2.15	37.56	0.47	0.13	0.34	0.19
110000	981.84	1.74	32.59	0.67	0.04	0.21	0.12
111000	1135.14	1.89	34.25	0.45	0.07	0.14	0.41
112000	1016.01	1.91	35.84	0.57	0.1	0.15	0.28
113000	1101.43	1.79	33.63	0.4	0.12	0.29	0.31
114000	1092.77	1.69	33.14	0.59	0.15	0.13	0.28
115000	898.35	1.57	29.09	0.49	0.05	0.3	0.21
116000	1217.59	2.0	36.12	0.58	0.11	0.12	0.3
117000	1241.08	2.1	36.38	0.48	0.14	0.15	0.37
118000	1211.58	1.86	36.44	0.49	0.08	0.23	0.28
119000	1322.09	2.37	38.66	0.39	0.14	0.47	0.14
120000	1016.33	1.68	30.89	0.41	0.09	0.38	0.21
121000	1373.4	2.61	40.95	0.44	0.16	0.22	0.34
122000	1137.67	1.86	38.07	0.53	0.25	0.16	0.31
123000	1462.78	2.33	41.33	0.49	0.19	0.27	0.24
124000	1158.41	1.88	35.66	0.53	0.06	0.32	0.15
125000	1329.73	2.51	41.07	0.45	0.13	0.16	0.39
126000	1358.72	2.3	38.23	0.41	0.11	0.16	0.43
127000	1405.07	2.3	40.59	0.53	0.18	0.12	0.35
128000	1091.14	1.89	32.58	0.52	0.11	0.13	0.35
129000	1450.36	2.31	40.29	0.47	0.21	0.21	0.32
130000	1069.76	1.9	32.65	0.57	0.1	0.22	0.21
131000	1389.54	2.18	38.44	0.51	0.21	0.23	0.26
132000	1476.9	2.4	40.78	0.27	0.13	0.32	0.41
133000	1213.83	2.13	35.66	0.61	0.1	0.23	0.16
134000	1373.0	2.13	40.0	0.47	0.18	0.22	0.31
135000	1410.05	2.37	38.65	0.36	0.12	0.31	0.33
136000	1391.67	2.35	40.39	0.48	0.13	0.15	0.37
137000	1434.38	2.14	40.8	0.4	0.19	0.23	0.37
