106000	1038.82	1.7	31.58	0.53	0.08	0.25	0.22
107000	1193.38	2.01	34.15	0.42	0.1	0.25	0.33
108000	1433.26	2.26	40.51	0.37	0.1	0.12	0.51
109000	1259.26	2.02	34.95	0.47	0.12	0.13	0.4
110000	1043.9	1.83	32.37	0.6	0.08	0.14	0.26
111000	1248.74	2.01	35.84	0.44	0.13	0.24	0.32
112000	1498.74	2.29	39.88	0.38	0.09	0.21	0.41
113000	1347.6	2.02	37.73	0.49	0.12	0.12	0.39
114000	1551.61	2.42	40.19	0.38	0.18	0.14	0.48
115000	1033.91	1.95	33.56	0.47	0.06	0.22	0.31
116000	1122.1	1.95	32.58	0.48	0.16	0.16	0.36
117000	1320.16	1.96	35.14	0.33	0.18	0.32	0.35
118000	1129.77	1.98	34.53	0.72	0.15	0.13	0.15
119000	1556.73	2.22	39.37	0.33	0.18	0.18	0.49
120000	1332.18	2.21	36.81	0.35	0.17	0.28	0.37
121000	700.44	1.35	27.41	0.41	0.15	0.46	0.13
122000	966.5	1.91	34.51	0.36	0.07	0.25	0.39
123000	1365.87	2.2	37.26	0.41	0.18	0.14	0.45
124000	1417.77	2.12	38.7	0.29	0.16	0.23	0.48
125000	1528.48	2.2	38.95	0.35	0.14	0.11	0.54
